country,region,in_ajr64,colonizer,religion,ever_colonized,protestant,catholic,edu_1900_cohort_lsec,edu_1925_cohort_lsec,edu_1950,edu_1975,edu_2000,edu_2020,edu_female_1950,primary_1950,log_gdp_1960,log_gdp_2020,le_1960,le_2020,tfr_1960,tfr_2020,u5mr_1960,u5mr_2015,polity2_avg_1980_2010,polity2_avg_1995_2010,polity2_2015,crossing_year,edu_at_cross
Macao Special Administrative Region of China,Other,False,,unknown,False,0,0,0.0,0.13,5.9,46.42,88.84,93.92,2.28,28.24,,10.429805827657708,63.780756,84.129268,4.957,0.841,,,,,,1973.0,42.212
Madagascar,Sub-Saharan Africa,True,France,catholic,True,0,1,0.03,0.36,3.52,12.85,16.13,28.54,3.39,9.46,6.699808620224703,6.04719309681816,43.349,62.706,7.343,4.17,241.0,58.1,2.129032258064516,6.5,6.0,,
Malawi,Sub-Saharan Africa,False,Britain,protestant,True,1,0,0.56,2.11,6.17,21.35,38.7,60.99,2.53,12.1,5.562114465556132,6.326948949553062,34.986,65.216,7.042,3.877,367.0,59.2,-0.8387096774193549,5.6875,6.0,,
Malaysia,East Asia & Pacific,True,Britain,protestant,True,1,0,5.02,17.15,9.65,50.51,85.83,97.05,5.3,16.76,7.1438665898717,9.227341606877387,57.168,76.057,6.412,1.68,92.6,8.0,3.806451612903226,3.625,5.0,1987.0,76.18
Maldives,South Asia,False,Britain,muslim,True,0,0,0.0,0.0,0.12,5.7,44.47,105.22,0.04,0.51,,8.895027008612105,38.244,78.713,6.713,1.613,340.0,9.98,,,,1999.0,41.286
Mali,Sub-Saharan Africa,True,France,catholic,True,0,1,0.02,0.14,0.8,6.01,10.2,30.51,0.3,2.2,,6.771235914813409,30.459,58.858,7.019,5.85,423.0,109.0,0.7741935483870968,5.625,5.0,,
Malta,Europe & Central Asia,True,Britain,protestant,True,1,0,32.72,30.61,26.9,52.73,99.48,99.9,21.06,81.75,,10.235012582026432,68.344098,82.097561,3.62,1.13,40.7,6.99,,,,1968.0,44.124
Mauritius,Sub-Saharan Africa,False,Britain,protestant,True,1,0,0.14,2.15,11.89,30.75,54.21,85.59,3.94,24.28,7.261428795239856,9.157327286542781,58.461415,74.177073,5.897,1.44,102.0,14.3,9.935483870967742,10.0,10.0,1991.0,48.62800000000001
Mexico,Latin America & Caribbean,True,Spain,catholic,True,0,1,0.0,0.25,5.78,36.03,72.09,100.94,5.88,17.39,8.329849369414783,9.130717302067403,53.573,70.449,6.763,1.99,150.0,14.8,3.032258064516129,7.125,8.0,1993.0,67.01599999999999
Micronesia (Federated States of),East Asia & Pacific,False,,none,False,0,0,0.0,0.0,4.34,75.09,83.1,82.87,0.87,13.52,,7.99016065663105,54.195,65.878,6.742,2.852,117.0,33.9,,,,,
